Code;Channel Quality;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
Reed Solomon;GOOD;0,0003;2817408;887;1392;0,6372126436781609
Reed Solomon;GOOD;0,0003;2817408;862;1392;0,6192528735632183
Reed Solomon;GOOD;0,0003;2817408;836;1392;0,6005747126436781
Reed Solomon;GOOD;0,0003;2817408;819;1392;0,5883620689655172
Reed Solomon;GOOD;0,0003;2817408;842;1392;0,6048850574712644
Reed Solomon;GOOD;0,0003;2817408;863;1392;0,6199712643678161
Reed Solomon;GOOD;0,0003;2817408;851;1392;0,6113505747126436
Reed Solomon;GOOD;0,0003;2817408;867;1392;0,6228448275862069
Reed Solomon;GOOD;0,0003;2817408;861;1392;0,6185344827586207
Reed Solomon;GOOD;0,0003;2817408;840;1392;0,603448275862069
Reed Solomon;GOOD;0,0003;2817408;847;1392;0,6084770114942529
Reed Solomon;GOOD;0,0003;2817408;868;1392;0,6235632183908046
Reed Solomon;GOOD;0,0003;2817408;885;1392;0,6357758620689655
Reed Solomon;GOOD;0,0003;2817408;858;1392;0,6163793103448276
Reed Solomon;GOOD;0,0003;2817408;894;1392;0,6422413793103449
Reed Solomon;GOOD;0,0003;2817408;788;1392;0,5660919540229885
Reed Solomon;GOOD;0,0003;2817408;871;1392;0,6257183908045977
Reed Solomon;GOOD;0,0003;2817408;844;1392;0,6063218390804598
Reed Solomon;GOOD;0,0003;2817408;877;1392;0,6300287356321839
Reed Solomon;GOOD;0,0003;2817408;798;1392;0,5732758620689655
Reed Solomon;GOOD;0,0003;2817408;857;1392;0,6156609195402298
Reed Solomon;GOOD;0,0003;2817408;873;1392;0,6271551724137931
Reed Solomon;GOOD;0,0003;2817408;843;1392;0,6056034482758621
Reed Solomon;GOOD;0,0003;2817408;818;1392;0,5876436781609196
Reed Solomon;GOOD;0,0003;2817408;871;1392;0,6257183908045977
Reed Solomon;GOOD;0,0003;2817408;838;1392;0,6020114942528736
Reed Solomon;GOOD;0,0003;2817408;837;1392;0,6012931034482759
Reed Solomon;GOOD;0,0003;2817408;860;1392;0,617816091954023
Reed Solomon;GOOD;0,0003;2817408;918;1392;0,6594827586206896
Reed Solomon;GOOD;0,0003;2817408;842;1392;0,6048850574712644
Reed Solomon;GOOD;0,0003;2817408;851;1392;0,6113505747126436
Reed Solomon;GOOD;0,0003;2817408;793;1392;0,569683908045977
Reed Solomon;GOOD;0,0003;2817408;851;1392;0,6113505747126436
Reed Solomon;GOOD;0,0003;2817408;854;1392;0,6135057471264368
Reed Solomon;GOOD;0,0003;2817408;870;1392;0,625
Reed Solomon;GOOD;0,0003;2817408;828;1392;0,5948275862068966
Reed Solomon;GOOD;0,0003;2817408;868;1392;0,6235632183908046
Reed Solomon;GOOD;0,0003;2817408;846;1392;0,6077586206896551
Reed Solomon;GOOD;0,0003;2817408;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;2817408;826;1392;0,5933908045977011
Reed Solomon;GOOD;0,0003;2817408;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;2817408;901;1392;0,6472701149425287
Reed Solomon;GOOD;0,0003;2817408;848;1392;0,6091954022988506
Reed Solomon;GOOD;0,0003;2817408;882;1392;0,6336206896551724
Reed Solomon;GOOD;0,0003;2817408;860;1392;0,617816091954023
Reed Solomon;GOOD;0,0003;2817408;870;1392;0,625
Reed Solomon;GOOD;0,0003;2817408;774;1392;0,5560344827586207
Reed Solomon;GOOD;0,0003;2817408;816;1392;0,5862068965517241
Reed Solomon;GOOD;0,0003;2817408;898;1392;0,6451149425287356
Reed Solomon;GOOD;0,0003;2817408;855;1392;0,6142241379310345
Reed Solomon;GOOD;0,0003;2817408;865;1392;0,6214080459770115
Reed Solomon;GOOD;0,0003;2817408;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;2817408;836;1392;0,6005747126436781
Reed Solomon;GOOD;0,0003;2817408;868;1392;0,6235632183908046
