Code;Channel Quality;BER;Total Bytes;Total Byte Errors;Total blocks;Average Errors per Block
corrections = 1
Reed Solomon;GOOD;0,0003;354960;926;1392;0,6652298850574713
Reed Solomon;MEDIUM;0,002;354960;5680;1392;4,080459770114943
Reed Solomon;BAD;0,02;354960;52765;1392;37,9058908045977
corrections = 3
Reed Solomon;GOOD;0,0003;360570;829;1414;0,5862800565770863
Reed Solomon;MEDIUM;0,002;360570;5740;1414;4,0594059405940595
Reed Solomon;BAD;0,02;360570;53897;1414;38,11669024045262
corrections = 7
Reed Solomon;GOOD;0,0003;372555;872;1461;0,5968514715947981
Reed Solomon;MEDIUM;0,002;372555;5902;1461;4,039698836413415
Reed Solomon;BAD;0,02;372555;55470;1461;37,96714579055441
