Code;Channel Name;With Interleaving;Channel Quality;BER;Block size;Total Blocks;Decoded Blocks;Failed Blocks;Success Ratio
corrections = 1
Reed Solomon;BSC;NO;GOOD;0,0003;253;1392;1187;205;0,8527298850574713
Reed Solomon;BSC;NO;MEDIUM;0,002;253;1392;110;1282;0,07902298850574713
Reed Solomon;BSC;NO;BAD;0,02;253;1392;0;1392;0,0
corrections = 3
Reed Solomon;BSC;NO;GOOD;0,0003;249;1414;1410;4;0,9971711456859972
Reed Solomon;BSC;NO;MEDIUM;0,002;249;1414;586;828;0,4144271570014144
Reed Solomon;BSC;NO;BAD;0,02;249;1414;0;1414;0,0
corrections = 7
Reed Solomon;BSC;NO;GOOD;0,0003;241;1461;1461;0;1,0
Reed Solomon;BSC;NO;MEDIUM;0,002;241;1461;1371;90;0,9383983572895277
Reed Solomon;BSC;NO;BAD;0,02;241;1461;0;1461;0,0
