Code;Channel Name;With Interleaving;Channel Quality;BER;Block size;Total Bytes;Decoded Bytes;Failed Bytes;Success Ratio
corrections = 1
Reed Solomon;BSC;NO;GOOD;0,0003;253;1392;351543;633;0,9982026032438326
Reed Solomon;BSC;NO;MEDIUM;0,002;253;1392;345420;6756;0,9808164099768297
Reed Solomon;BSC;NO;BAD;0,02;253;1392;298664;53512;0,8480532461042206
corrections = 3
Reed Solomon;BSC;NO;GOOD;0,0003;249;1414;352071;15;0,9999573967723795
Reed Solomon;BSC;NO;MEDIUM;0,002;249;1414;347324;4762;0,9864748953380709
Reed Solomon;BSC;NO;BAD;0,02;249;1414;298864;53222;0,8488380679720295
corrections = 7
Reed Solomon;BSC;NO;GOOD;0,0003;241;1461;352101;0;1,0
Reed Solomon;BSC;NO;MEDIUM;0,002;241;1461;351380;721;0,997952292098006
Reed Solomon;BSC;NO;BAD;0,02;241;1461;299705;52396;0,8511904254745087
