Code;Channel Quality;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
Reed Solomon;MEDIUM;0,002;2817408;5735;1392;4,119971264367816
Reed Solomon;MEDIUM;0,002;2817408;5643;1392;4,053879310344827
Reed Solomon;MEDIUM;0,002;2817408;5622;1392;4,038793103448276
Reed Solomon;MEDIUM;0,002;2817408;5658;1392;4,064655172413793
Reed Solomon;MEDIUM;0,002;2817408;5602;1392;4,024425287356322
Reed Solomon;MEDIUM;0,002;2817408;5678;1392;4,079022988505747
Reed Solomon;MEDIUM;0,002;2817408;5711;1392;4,102729885057471
Reed Solomon;MEDIUM;0,002;2817408;5709;1392;4,101293103448276
Reed Solomon;MEDIUM;0,002;2817408;5714;1392;4,1048850574712645
Reed Solomon;MEDIUM;0,002;2817408;5794;1392;4,162356321839081
Reed Solomon;MEDIUM;0,002;2817408;5692;1392;4,089080459770115
Reed Solomon;MEDIUM;0,002;2817408;5553;1392;3,9892241379310347
Reed Solomon;MEDIUM;0,002;2817408;5639;1392;4,051005747126437
Reed Solomon;MEDIUM;0,002;2817408;5536;1392;3,9770114942528734
Reed Solomon;MEDIUM;0,002;2817408;5551;1392;3,987787356321839
Reed Solomon;MEDIUM;0,002;2817408;5694;1392;4,0905172413793105
Reed Solomon;MEDIUM;0,002;2817408;5802;1392;4,168103448275862
Reed Solomon;MEDIUM;0,002;2817408;5683;1392;4,0826149425287355
Reed Solomon;MEDIUM;0,002;2817408;5641;1392;4,052442528735632
Reed Solomon;MEDIUM;0,002;2817408;5527;1392;3,9705459770114944
Reed Solomon;MEDIUM;0,002;2817408;5627;1392;4,0423850574712645
Reed Solomon;MEDIUM;0,002;2817408;5722;1392;4,110632183908046
Reed Solomon;MEDIUM;0,002;2817408;5626;1392;4,041666666666667
Reed Solomon;MEDIUM;0,002;2817408;5587;1392;4,0136494252873565
Reed Solomon;MEDIUM;0,002;2817408;5631;1392;4,045258620689655
Reed Solomon;MEDIUM;0,002;2817408;5760;1392;4,137931034482759
Reed Solomon;MEDIUM;0,002;2817408;5585;1392;4,012212643678161
Reed Solomon;MEDIUM;0,002;2817408;5576;1392;4,005747126436781
Reed Solomon;MEDIUM;0,002;2817408;5603;1392;4,025143678160919
Reed Solomon;MEDIUM;0,002;2817408;5640;1392;4,051724137931035
Reed Solomon;MEDIUM;0,002;2817408;5538;1392;3,978448275862069
Reed Solomon;MEDIUM;0,002;2817408;5627;1392;4,0423850574712645
Reed Solomon;MEDIUM;0,002;2817408;5580;1392;4,008620689655173
Reed Solomon;MEDIUM;0,002;2817408;5476;1392;3,9339080459770117
Reed Solomon;MEDIUM;0,002;2817408;5610;1392;4,030172413793103
Reed Solomon;MEDIUM;0,002;2817408;5605;1392;4,026580459770115
Reed Solomon;MEDIUM;0,002;2817408;5611;1392;4,030890804597701
Reed Solomon;MEDIUM;0,002;2817408;5539;1392;3,9791666666666665
Reed Solomon;MEDIUM;0,002;2817408;5632;1392;4,045977011494253
Reed Solomon;MEDIUM;0,002;2817408;5633;1392;4,046695402298851
Reed Solomon;MEDIUM;0,002;2817408;5703;1392;4,0969827586206895
Reed Solomon;MEDIUM;0,002;2817408;5728;1392;4,114942528735632
Reed Solomon;MEDIUM;0,002;2817408;5747;1392;4,128591954022989
Reed Solomon;MEDIUM;0,002;2817408;5630;1392;4,044540229885057
Reed Solomon;MEDIUM;0,002;2817408;5654;1392;4,061781609195402
Reed Solomon;MEDIUM;0,002;2817408;5652;1392;4,060344827586207
