Code;Channel Quality;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
Reed Solomon;BAD;0,02;2817240;56569;1381;40,96234612599566
Reed Solomon;BAD;0,02;2817240;56048;1381;40,58508327299059
Reed Solomon;BAD;0,02;2817240;55865;1381;40,45257060101376
Reed Solomon;BAD;0,02;2817240;56181;1381;40,68139029688631
Reed Solomon;BAD;0,02;2817240;56255;1381;40,73497465604634
Reed Solomon;BAD;0,02;2817240;56666;1381;41,03258508327299
Reed Solomon;BAD;0,02;2817240;56510;1381;40,91962346125996
Reed Solomon;BAD;0,02;2817240;56443;1381;40,87110789283128
Reed Solomon;BAD;0,02;2817240;56755;1381;41,097031136857346
Reed Solomon;BAD;0,02;2817240;56474;1381;40,89355539464157
Reed Solomon;BAD;0,02;2817240;56403;1381;40,8421433743664
Reed Solomon;BAD;0,02;2817240;56332;1381;40,790731354091236
Reed Solomon;BAD;0,02;2817240;56224;1381;40,712527154236064
Reed Solomon;BAD;0,02;2817240;56369;1381;40,817523533671256
Reed Solomon;BAD;0,02;2817240;56573;1381;40,96524257784214
Reed Solomon;BAD;0,02;2817240;56500;1381;40,912382331643734
Reed Solomon;BAD;0,02;2817240;56473;1381;40,89283128167994
Reed Solomon;BAD;0,02;2817240;56568;1381;40,96162201303403
Reed Solomon;BAD;0,02;2817240;56053;1381;40,5887038377987
Reed Solomon;BAD;0,02;2817240;56415;1381;40,85083272990587
Reed Solomon;BAD;0,02;2817240;56084;1381;40,61115133960898
Reed Solomon;BAD;0,02;2817240;56155;1381;40,66256335988414
Reed Solomon;BAD;0,02;2817240;56627;1381;41,00434467776973
Reed Solomon;BAD;0,02;2817240;56056;1381;40,590876176683565
Reed Solomon;BAD;0,02;2817240;56409;1381;40,84648805213613
Reed Solomon;BAD;0,02;2817240;56089;1381;40,61477190441709
Reed Solomon;BAD;0,02;2817240;56371;1381;40,8189717595945
Reed Solomon;BAD;0,02;2817240;56511;1381;40,92034757422158
Reed Solomon;BAD;0,02;2817240;56782;1381;41,11658218682114
Reed Solomon;BAD;0,02;2817240;56804;1381;41,132512671976826
