Channel Name;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
GOOD;0,0003;2884560;876;1414;0,6195190947666195
GOOD;0,0003;2884560;887;1414;0,6272984441301273
GOOD;0,0003;2884560;839;1414;0,5933521923620934
GOOD;0,0003;2884560;890;1414;0,6294200848656294
GOOD;0,0003;2884560;889;1414;0,6287128712871287
GOOD;0,0003;2884560;890;1414;0,6294200848656294
GOOD;0,0003;2884560;887;1414;0,6272984441301273
GOOD;0,0003;2884560;855;1414;0,6046676096181046
GOOD;0,0003;2884560;876;1414;0,6195190947666195
GOOD;0,0003;2884560;893;1414;0,6315417256011315
MEDIUM;0,002;2884560;5908;1414;4,178217821782178
MEDIUM;0,002;2884560;5757;1414;4,071428571428571
MEDIUM;0,002;2884560;5858;1414;4,142857142857143
MEDIUM;0,002;2884560;5845;1414;4,133663366336633
MEDIUM;0,002;2884560;5914;1414;4,182461103253183
MEDIUM;0,002;2884560;5744;1414;4,062234794908062
MEDIUM;0,002;2884560;5870;1414;4,151343705799151
MEDIUM;0,002;2884560;5867;1414;4,1492220650636495
MEDIUM;0,002;2884560;5877;1414;4,156294200848656
MEDIUM;0,002;2884560;5658;1414;4,001414427157002
BAD;0,02;2884560;57299;1414;40,52263083451202
BAD;0,02;2884560;57132;1414;40,40452616690241
BAD;0,02;2884560;57377;1414;40,57779349363508
BAD;0,02;2884560;57820;1414;40,89108910891089
BAD;0,02;2884560;57807;1414;40,88189533239038
BAD;0,02;2884560;57442;1414;40,62376237623762
BAD;0,02;2884560;57665;1414;40,78147100424328
BAD;0,02;2884560;57889;1414;40,93988684582744
BAD;0,02;2884560;57713;1414;40,815417256011315
BAD;0,02;2884560;57550;1414;40,7001414427157
