Code;Channel Quality;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
Reed Solomon;GOOD;0,0001;2884560;282;1414;0,19943422913719944
Reed Solomon;GOOD;0,0001;2884560;294;1414;0,2079207920792079
Reed Solomon;GOOD;0,0001;2884560;251;1414;0,1775106082036775
Reed Solomon;GOOD;0,0001;2884560;262;1414;0,18528995756718528
Reed Solomon;GOOD;0,0001;2884560;294;1414;0,2079207920792079
Reed Solomon;GOOD;0,0001;2884560;311;1414;0,21994342291371993
Reed Solomon;GOOD;0,0001;2884560;311;1414;0,21994342291371993
Reed Solomon;GOOD;0,0001;2884560;298;1414;0,21074964639321075
Reed Solomon;GOOD;0,0001;2884560;289;1414;0,2043847241867044
Reed Solomon;GOOD;0,0001;2884560;285;1414;0,20155586987270155
Reed Solomon;GOOD;0,0001;2884560;286;1414;0,20226308345120225
Reed Solomon;GOOD;0,0001;2884560;296;1414;0,20933521923620935
Reed Solomon;GOOD;0,0001;2884560;283;1414;0,20014144271570014
Reed Solomon;GOOD;0,0001;2884560;288;1414;0,2036775106082037
Reed Solomon;GOOD;0,0001;2884560;250;1414;0,1768033946251768
Reed Solomon;GOOD;0,0001;2884560;314;1414;0,22206506364922207
Reed Solomon;GOOD;0,0001;2884560;319;1414;0,2256011315417256
Reed Solomon;GOOD;0,0001;2884560;278;1414;0,1966053748231966
Reed Solomon;GOOD;0,0001;2884560;293;1414;0,2072135785007072
Reed Solomon;GOOD;0,0001;2884560;293;1414;0,2072135785007072
Reed Solomon;GOOD;0,0001;2884560;282;1414;0,19943422913719944
Reed Solomon;GOOD;0,0001;2884560;267;1414;0,18882602545968882
Reed Solomon;GOOD;0,0001;2884560;257;1414;0,18175388967468176
Reed Solomon;GOOD;0,0001;2884560;273;1414;0,19306930693069307
Reed Solomon;GOOD;0,0001;2884560;316;1414;0,22347949080622348
Reed Solomon;GOOD;0,0001;2884560;273;1414;0,19306930693069307
Reed Solomon;GOOD;0,0001;2884560;281;1414;0,19872701555869873
Reed Solomon;GOOD;0,0001;2884560;297;1414;0,21004243281471005
Reed Solomon;GOOD;0,0001;2884560;289;1414;0,2043847241867044
Reed Solomon;GOOD;0,0001;2884560;274;1414;0,19377652050919378
Reed Solomon;GOOD;0,0001;2884560;268;1414;0,18953323903818953
Reed Solomon;GOOD;0,0001;2884560;274;1414;0,19377652050919378
Reed Solomon;GOOD;0,0001;2884560;269;1414;0,19024045261669023
Reed Solomon;GOOD;0,0001;2884560;291;1414;0,2057991513437058
Reed Solomon;GOOD;0,0001;2884560;279;1414;0,19731258840169733
Reed Solomon;GOOD;0,0001;2884560;294;1414;0,2079207920792079
Reed Solomon;GOOD;0,0001;2884560;300;1414;0,21216407355021216
Reed Solomon;GOOD;0,0001;2884560;274;1414;0,19377652050919378
Reed Solomon;GOOD;0,0001;2884560;273;1414;0,19306930693069307
Reed Solomon;GOOD;0,0001;2884560;312;1414;0,22065063649222066
Reed Solomon;GOOD;0,0001;2884560;247;1414;0,1746817538896747
Reed Solomon;GOOD;0,0001;2884560;303;1414;0,21428571428571427
Reed Solomon;GOOD;0,0001;2884560;314;1414;0,22206506364922207
Reed Solomon;GOOD;0,0001;2884560;318;1414;0,2248939179632249
Reed Solomon;GOOD;0,0001;2884560;289;1414;0,2043847241867044
Reed Solomon;GOOD;0,0001;2884560;287;1414;0,20297029702970298
Reed Solomon;GOOD;0,0001;2884560;298;1414;0,21074964639321075
Reed Solomon;GOOD;0,0001;2884560;311;1414;0,21994342291371993
Reed Solomon;GOOD;0,0001;2884560;263;1414;0,185997171145686
Reed Solomon;GOOD;0,0001;2884560;301;1414;0,21287128712871287
Reed Solomon;GOOD;0,0001;2884560;267;1414;0,18882602545968882
Reed Solomon;GOOD;0,0001;2884560;324;1414;0,22913719943422914
Reed Solomon;GOOD;0,0001;2884560;296;1414;0,20933521923620935
Reed Solomon;GOOD;0,0001;2884560;299;1414;0,21145685997171146
Reed Solomon;GOOD;0,0001;2884560;290;1414;0,2050919377652051
Reed Solomon;GOOD;0,0001;2884560;325;1414;0,22984441301272984
Reed Solomon;GOOD;0,0001;2884560;272;1414;0,19236209335219237
Reed Solomon;GOOD;0,0001;2884560;306;1414;0,2164073550212164
Reed Solomon;GOOD;0,0001;2884560;317;1414;0,22418670438472418
Reed Solomon;GOOD;0,0001;2884560;289;1414;0,2043847241867044
Reed Solomon;GOOD;0,0001;2884560;289;1414;0,2043847241867044
Reed Solomon;GOOD;0,0001;2884560;307;1414;0,21711456859971712
Reed Solomon;GOOD;0,0001;2884560;277;1414;0,1958981612446959
Reed Solomon;GOOD;0,0001;2884560;297;1414;0,21004243281471005
Reed Solomon;GOOD;0,0001;2884560;270;1414;0,19094766619519093
Reed Solomon;GOOD;0,0001;2884560;300;1414;0,21216407355021216
Reed Solomon;GOOD;0,0001;2884560;285;1414;0,20155586987270155
Reed Solomon;GOOD;0,0001;2884560;303;1414;0,21428571428571427
Reed Solomon;GOOD;0,0001;2884560;264;1414;0,1867043847241867
Reed Solomon;GOOD;0,0001;2884560;303;1414;0,21428571428571427
Reed Solomon;GOOD;0,0001;2884560;279;1414;0,19731258840169733
Reed Solomon;GOOD;0,0001;2884560;287;1414;0,20297029702970298
Reed Solomon;GOOD;0,0001;2884560;282;1414;0,19943422913719944
Reed Solomon;GOOD;0,0001;2884560;268;1414;0,18953323903818953
Reed Solomon;GOOD;0,0001;2884560;301;1414;0,21287128712871287
