Code;Channel Quality;BER;Total Bytes;Total Byte Errors;Total blocks;Average Errors per Block
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;MEDIUM;0,002;354960;5586;1392;4,012931034482759
Reed Solomon;BAD;0,02;354960;53043;1392;38,105603448275865
Reed Solomon;GOOD;0,0003;360570;909;1414;0,6428571428571429
Reed Solomon;MEDIUM;0,002;360570;5584;1414;3,949080622347949
Reed Solomon;BAD;0,02;360570;53989;1414;38,18175388967468
Reed Solomon;GOOD;0,0003;382245;904;1499;0,6030687124749833
Reed Solomon;MEDIUM;0,002;382245;6118;1499;4,081387591727818
Reed Solomon;BAD;0,02;382245;56771;1499;37,872581721147434
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;MEDIUM;0,002;354960;5610;1392;4,030172413793103
Reed Solomon;BAD;0,02;354960;53301;1392;38,29094827586207
Reed Solomon;GOOD;0,0003;354960;892;1392;0,6408045977011494
Reed Solomon;GOOD;0,0003;354960;868;1392;0,6235632183908046
Reed Solomon;MEDIUM;0,002;354960;5610;1392;4,030172413793103
Reed Solomon;BAD;0,02;354960;53251;1392;38,25502873563219
Reed Solomon;BAD;0,02;354960;52840;1392;37,95977011494253
Reed Solomon;BAD;0,02;354960;52874;1392;37,98419540229885
Reed Solomon;BAD;0,02;354960;52819;1392;37,944683908045974
Reed Solomon;BAD;0,02;354960;52983;1392;38,0625
Reed Solomon;GOOD;0,0003;354960;832;1392;0,5977011494252874
Reed Solomon;MEDIUM;0,002;354960;5640;1392;4,051724137931035
Reed Solomon;BAD;0,02;354960;52996;1392;38,07183908045977
Reed Solomon;GOOD;0,0003;360570;865;1414;0,6117397454031117
Reed Solomon;MEDIUM;0,002;360570;5583;1414;3,948373408769448
Reed Solomon;BAD;0,02;360570;53760;1414;38,01980198019802
Reed Solomon;GOOD;0,0003;382245;921;1499;0,6144096064042696
Reed Solomon;MEDIUM;0,002;382245;5957;1499;3,973982655103402
Reed Solomon;BAD;0,02;382245;56638;1499;37,78385590393596
Reed Solomon;GOOD;0,0003;382245;844;1499;0,5630420280186791
Reed Solomon;MEDIUM;0,002;382245;6082;1499;4,057371581054036
Reed Solomon;BAD;0,02;382245;57132;1499;38,11340893929286
Reed Solomon;GOOD;0,0003;382245;931;1499;0,6210807204803203
Reed Solomon;MEDIUM;0,002;382245;6071;1499;4,05003335557038
Reed Solomon;BAD;0,02;382245;57074;1499;38,07471647765177
Reed Solomon;GOOD;0,0003;354960;908;1392;0,6522988505747126
Reed Solomon;MEDIUM;0,002;354960;5697;1392;4,092672413793103
Reed Solomon;BAD;0,02;354960;52651;1392;37,82399425287356
Reed Solomon;GOOD;0,0003;360570;873;1414;0,6173974540311173
Reed Solomon;MEDIUM;0,002;360570;5682;1414;4,018387553041018
Reed Solomon;BAD;0,02;360570;53570;1414;37,88543140028288
Reed Solomon;GOOD;0,0003;382245;890;1499;0,5937291527685123
Reed Solomon;MEDIUM;0,002;382245;6128;1499;4,088058705803869
Reed Solomon;BAD;0,02;382245;57155;1499;38,128752501667776
Reed Solomon;GOOD;0,0003;354960;869;1392;0,6242816091954023
Reed Solomon;GOOD;0,0003;354960;872;1392;0,6264367816091954
Reed Solomon;GOOD;0,0003;354960;872;1392;0,6264367816091954
Reed Solomon;GOOD;0,0003;354960;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;354960;864;1392;0,6206896551724138
Reed Solomon;GOOD;0,0003;354960;822;1392;0,5905172413793104
Reed Solomon;GOOD;0,0003;354960;884;1392;0,6350574712643678
Reed Solomon;GOOD;0,0003;354960;882;1392;0,6336206896551724
Reed Solomon;GOOD;0,0003;354960;891;1392;0,6400862068965517
Reed Solomon;GOOD;0,0003;354960;868;1392;0,6235632183908046
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;GOOD;0,0003;354960;851;1392;0,6113505747126436
Reed Solomon;GOOD;0,0003;354960;882;1392;0,6336206896551724
Reed Solomon;GOOD;0,0003;354960;863;1392;0,6199712643678161
Reed Solomon;GOOD;0,0003;354960;877;1392;0,6300287356321839
Reed Solomon;GOOD;0,0003;354960;903;1392;0,6487068965517241
Reed Solomon;GOOD;0,0003;354960;841;1392;0,6041666666666666
Reed Solomon;GOOD;0,0003;354960;861;1392;0,6185344827586207
Reed Solomon;GOOD;0,0003;354960;835;1392;0,5998563218390804
Reed Solomon;GOOD;0,0003;354960;839;1392;0,6027298850574713
Reed Solomon;GOOD;0,0003;354960;878;1392;0,6307471264367817
Reed Solomon;GOOD;0,0003;354960;871;1392;0,6257183908045977
Reed Solomon;GOOD;0,0003;354960;815;1392;0,5854885057471264
Reed Solomon;GOOD;0,0003;354960;842;1392;0,6048850574712644
Reed Solomon;GOOD;0,0003;354960;852;1392;0,6120689655172413
Reed Solomon;GOOD;0,0003;354960;841;1392;0,6041666666666666
Reed Solomon;GOOD;0,0003;354960;840;1392;0,603448275862069
Reed Solomon;GOOD;0,0003;354960;860;1392;0,617816091954023
Reed Solomon;GOOD;0,0003;354960;876;1392;0,6293103448275862
Reed Solomon;GOOD;0,0003;354960;875;1392;0,6285919540229885
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;GOOD;0,0003;354960;818;1392;0,5876436781609196
Reed Solomon;GOOD;0,0003;354960;841;1392;0,6041666666666666
Reed Solomon;GOOD;0,0003;354960;789;1392;0,5668103448275862
Reed Solomon;GOOD;0,0003;354960;868;1392;0,6235632183908046
Reed Solomon;GOOD;0,0003;354960;889;1392;0,6386494252873564
Reed Solomon;GOOD;0,0003;354960;822;1392;0,5905172413793104
Reed Solomon;GOOD;0,0003;354960;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;354960;793;1392;0,569683908045977
Reed Solomon;GOOD;0,0003;354960;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;354960;794;1392;0,5704022988505747
Reed Solomon;GOOD;0,0003;354960;843;1392;0,6056034482758621
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;GOOD;0,0003;354960;826;1392;0,5933908045977011
Reed Solomon;GOOD;0,0003;354960;886;1392;0,6364942528735632
Reed Solomon;GOOD;0,0003;354960;858;1392;0,6163793103448276
Reed Solomon;GOOD;0,0003;354960;832;1392;0,5977011494252874
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;GOOD;0,0003;354960;892;1392;0,6408045977011494
Reed Solomon;GOOD;0,0003;354960;852;1392;0,6120689655172413
Reed Solomon;GOOD;0,0003;354960;872;1392;0,6264367816091954
Reed Solomon;GOOD;0,0003;354960;793;1392;0,569683908045977
Reed Solomon;GOOD;0,0003;354960;842;1392;0,6048850574712644
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;GOOD;0,0003;354960;849;1392;0,6099137931034483
Reed Solomon;GOOD;0,0003;354960;811;1392;0,5826149425287356
Reed Solomon;GOOD;0,0003;354960;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;GOOD;0,0003;354960;869;1392;0,6242816091954023
Reed Solomon;GOOD;0,0003;354960;861;1392;0,6185344827586207
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;GOOD;0,0003;354960;871;1392;0,6257183908045977
Reed Solomon;GOOD;0,0003;354960;848;1392;0,6091954022988506
Reed Solomon;GOOD;0,0003;354960;807;1392;0,5797413793103449
Reed Solomon;GOOD;0,0003;354960;836;1392;0,6005747126436781
Reed Solomon;GOOD;0,0003;354960;851;1392;0,6113505747126436
Reed Solomon;GOOD;0,0003;354960;826;1392;0,5933908045977011
Reed Solomon;GOOD;0,0003;354960;881;1392;0,6329022988505747
Reed Solomon;GOOD;0,0003;354960;827;1392;0,5941091954022989
Reed Solomon;GOOD;0,0003;354960;879;1392;0,6314655172413793
Reed Solomon;GOOD;0,0003;354960;812;1392;0,5833333333333334
Reed Solomon;GOOD;0,0003;354960;861;1392;0,6185344827586207
Reed Solomon;GOOD;0,0003;354960;857;1392;0,6156609195402298
Reed Solomon;GOOD;0,0003;354960;852;1392;0,6120689655172413
Reed Solomon;GOOD;0,0003;354960;845;1392;0,6070402298850575
Reed Solomon;GOOD;0,0003;354960;902;1392;0,6479885057471264
Reed Solomon;GOOD;0,0003;354960;881;1392;0,6329022988505747
Reed Solomon;GOOD;0,0003;354960;842;1392;0,6048850574712644
Reed Solomon;GOOD;0,0003;354960;877;1392;0,6300287356321839
Reed Solomon;GOOD;0,0003;354960;853;1392;0,6127873563218391
Reed Solomon;GOOD;0,0003;354960;837;1392;0,6012931034482759
Reed Solomon;GOOD;0,0003;354960;790;1392;0,5675287356321839
Reed Solomon;GOOD;0,0003;354960;901;1392;0,6472701149425287
Reed Solomon;GOOD;0,0003;354960;883;1392;0,6343390804597702
Reed Solomon;GOOD;0,0003;354960;896;1392;0,6436781609195402
Reed Solomon;GOOD;0,0003;354960;854;1392;0,6135057471264368
Reed Solomon;GOOD;0,0003;354960;849;1392;0,6099137931034483
Reed Solomon;GOOD;0,0003;354960;839;1392;0,6027298850574713
Reed Solomon;GOOD;0,0003;354960;870;1392;0,625
Reed Solomon;GOOD;0,0003;354960;908;1392;0,6522988505747126
Reed Solomon;GOOD;0,0003;354960;858;1392;0,6163793103448276
Reed Solomon;GOOD;0,0003;354960;870;1392;0,625
Reed Solomon;GOOD;0,0003;354960;896;1392;0,6436781609195402
Reed Solomon;GOOD;0,0003;354960;824;1392;0,5919540229885057
Reed Solomon;GOOD;0,0003;354960;841;1392;0,6041666666666666
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;GOOD;0,0003;354960;855;1392;0,6142241379310345
