Channel Name;BER;Block size;Total Blocks;Decoded Blocks;Failed Blocks;Success Ratio
GOOD;0,0003;249;1414;1412;2;0,9985855728429985
GOOD;0,0003;249;1414;1410;4;0,9971711456859972
GOOD;0,0003;249;1414;1411;3;0,9978783592644979
GOOD;0,0003;249;1414;1411;3;0,9978783592644979
GOOD;0,0003;249;1414;1409;5;0,9964639321074965
GOOD;0,0003;249;1414;1410;4;0,9971711456859972
GOOD;0,0003;249;1414;1407;7;0,995049504950495
GOOD;0,0003;249;1414;1406;8;0,9943422913719944
GOOD;0,0003;249;1414;1411;3;0,9978783592644979
GOOD;0,0003;249;1414;1409;5;0,9964639321074965
MEDIUM;0,002;249;1414;695;719;0,4915134370579915
MEDIUM;0,002;249;1414;741;673;0,5240452616690241
MEDIUM;0,002;249;1414;719;695;0,5084865629420084
MEDIUM;0,002;249;1414;731;683;0,516973125884017
MEDIUM;0,002;249;1414;714;700;0,504950495049505
MEDIUM;0,002;249;1414;745;669;0,5268741159830269
MEDIUM;0,002;249;1414;715;699;0,5056577086280056
MEDIUM;0,002;249;1414;724;690;0,512022630834512
MEDIUM;0,002;249;1414;714;700;0,504950495049505
MEDIUM;0,002;249;1414;743;671;0,5254596888260255
BAD;0,02;249;1414;227;1187;0,16053748231966053
BAD;0,02;249;1414;220;1194;0,15558698727015557
BAD;0,02;249;1414;224;1190;0,15841584158415842
BAD;0,02;249;1414;224;1190;0,15841584158415842
BAD;0,02;249;1414;221;1193;0,1562942008486563
BAD;0,02;249;1414;236;1178;0,1669024045261669
BAD;0,02;249;1414;212;1202;0,14992927864214992
BAD;0,02;249;1414;232;1182;0,16407355021216408
BAD;0,02;249;1414;204;1210;0,14427157001414428
BAD;0,02;249;1414;221;1193;0,1562942008486563
